date,windspeed_avg,rainfall_avg,temperature_avg
2010-01-01,5.21,0.0,-0.14
2010-01-02,2.77,0.0,-0.9
2010-01-03,3.92,0.03,-1.35
2010-01-04,1.84,0.0,-4.05
2010-01-05,1.71,0.0,-2.76
2010-01-06,1.91,0.0,-4.45
2010-01-07,1.21,0.0,-5.95
2010-01-08,5.97,0.0,-5.31
2010-01-09,8.88,0.0,-1.92
2010-01-10,4.13,0.0,-0.8
2010-01-11,1.56,0.0,-0.86
2010-01-12,2.56,0.0,-0.39
2010-01-13,3.21,0.18,-0.47
2010-01-14,2.71,0.0,2.74
2010-01-15,2.19,0.0,0.96
2010-01-16,6.88,0.85,2.08
2010-01-17,4.04,0.8,5.38
2010-01-18,3.16,0.0,4.65
2010-01-19,1.77,0.0,3.65
2010-01-20,3.73,0.02,2.05
2010-01-21,1.19,0.02,2.56
2010-01-22,3.99,0.0,2.42
2010-01-23,3.97,0.93,2.92
2010-01-24,1.8,0.2,2.69
2010-01-25,2.89,0.0,1.01
2010-01-26,4.67,0.0,-2.21
2010-01-27,3.34,0.1,-2.19
2010-01-28,4.42,0.38,3.55
2010-01-29,4.95,1.13,2.97
2010-01-30,4.75,0.15,0.33
2010-01-31,4.11,0.0,-0.09
2010-02-01,5.39,0.0,0.89
2010-02-02,6.49,0.55,3.11
2010-02-03,2.9,0.5,4.0
2010-02-04,4.36,0.05,6.59
2010-02-05,3.6,0.55,6.24
2010-02-06,3.72,0.0,4.35
2010-02-07,1.73,0.05,2.99
2010-02-08,3.54,0.1,1.26
2010-02-09,5.36,0.0,-2.58
2010-02-10,4.74,0.05,-2.16
2010-02-11,7.52,0.02,-2.18
2010-02-12,4.75,0.0,-2.63
2010-02-13,3.52,0.0,-2.06
2010-02-14,2.77,0.0,-1.74
2010-02-15,1.99,0.15,-1.99
2010-02-16,4.84,0.0,-0.25
2010-02-17,1.8,0.03,-0.73
2010-02-18,3.97,0.07,2.97
2010-02-19,6.05,0.03,3.11
2010-02-20,2.63,0.08,1.9
2010-02-21,4.24,0.13,2.29
2010-02-22,6.76,0.92,6.55
2010-02-23,3.79,0.5,4.41
2010-02-24,6.16,0.35,7.96
2010-02-25,7.15,0.8,9.09
2010-02-26,9.44,0.07,7.65
2010-02-27,6.8,0.03,7.49
2010-02-28,7.4,2.15,6.81
2010-03-01,3.85,0.0,4.94
2010-03-02,1.61,0.0,3.73
2010-03-03,5.41,0.0,2.61
2010-03-04,6.31,0.0,2.86
2010-03-05,3.86,0.03,1.67
2010-03-06,6.8,0.03,2.9
2010-03-07,5.79,0.0,-0.43
2010-03-08,5.4,0.13,-0.18
2010-03-09,6.09,0.0,0.33
2010-03-10,7.78,0.0,1.93
2010-03-11,5.51,0.0,1.46
2010-03-12,2.64,0.0,3.69
2010-03-13,3.54,0.0,4.94
2010-03-14,4.69,0.0,6.42
2010-03-15,4.44,0.0,7.25
2010-03-16,2.4,0.0,7.31
2010-03-17,2.87,0.0,7.89
2010-03-18,3.85,0.0,11.25
2010-03-19,5.28,0.13,14.24
2010-03-20,7.71,0.23,14.44
2010-03-21,4.61,0.45,8.59
2010-03-22,3.46,0.02,7.41
2010-03-23,2.2,0.0,10.22
2010-03-24,4.63,0.0,12.53
2010-03-25,4.13,0.58,13.05
2010-03-26,5.92,0.0,10.39
2010-03-27,5.23,0.0,9.3
2010-03-28,5.65,0.25,9.81
2010-03-29,6.3,0.68,12.34
2010-03-30,6.69,0.3,9.73
2010-03-31,10.29,0.26,5.86
2010-04-01,6.56,0.0,5.64
2010-04-02,5.34,0.2,6.29
2010-04-03,5.4,1.0,7.95
2010-04-04,5.26,1.3,7.29
2010-04-05,4.05,0.0,7.9
2010-04-06,4.25,0.0,10.18
2010-04-07,2.79,0.83,11.81
2010-04-08,4.89,0.05,9.03
2010-04-09,2.05,0.0,9.6
2010-04-10,4.69,0.0,8.65
2010-04-11,5.96,0.0,7.5
2010-04-12,6.36,0.0,8.84
2010-04-13,7.26,0.0,10.21
2010-04-14,4.95,0.0,8.71
2010-04-15,5.59,0.0,10.3
2010-04-16,5.54,0.0,7.67
2010-04-17,3.21,0.0,9.45
2010-04-18,2.17,0.0,10.72
2010-04-19,2.65,0.0,10.14
2010-04-20,4.3,0.0,9.26
2010-04-21,3.5,0.0,7.64
2010-04-22,3.93,0.0,6.92
2010-04-23,3.97,0.0,9.76
2010-04-24,1.85,0.0,13.55
2010-04-25,3.27,0.0,14.11
2010-04-26,4.37,0.0,11.35
2010-04-27,1.69,0.0,13.14
2010-04-28,2.1,0.0,16.5
2010-04-29,3.6,0.05,18.68
2010-04-30,6.67,0.0,12.69
2010-05-01,4.25,0.0,11.65
2010-05-02,4.05,1.8,10.6
2010-05-03,7.26,0.25,6.83
2010-05-04,6.87,0.0,7.42
2010-05-05,5.43,0.0,7.46
2010-05-06,6.04,0.0,8.71
2010-05-07,4.06,0.0,7.91
2010-05-08,2.39,0.0,8.11
2010-05-09,3.53,0.02,9.61
2010-05-10,5.94,0.0,9.15
2010-05-11,5.49,0.15,6.87
2010-05-12,4.39,0.07,6.69
2010-05-13,2.79,0.15,8.03
2010-05-14,2.06,0.0,9.1
2010-05-15,3.74,0.0,10.25
2010-05-16,4.49,0.0,11.84
2010-05-17,4.83,0.0,12.94
2010-05-18,1.83,0.03,10.74
2010-05-19,2.7,0.0,12.29
2010-05-20,2.56,0.0,14.49
2010-05-21,3.74,0.0,15.68
2010-05-22,4.25,0.0,14.99
2010-05-23,2.64,0.02,17.94
2010-05-24,3.06,0.0,20.42
2010-05-25,4.64,0.0,18.31
2010-05-26,4.65,3.28,11.01
2010-05-27,1.34,0.02,13.07
2010-05-28,3.59,0.0,13.19
2010-05-29,5.66,0.05,14.4
2010-05-30,6.19,0.65,13.7
2010-05-31,5.21,0.08,11.75
2010-06-01,1.85,0.13,12.2
2010-06-02,4.25,0.03,15.25
2010-06-03,4.67,0.0,16.88
2010-06-04,2.7,0.0,19.9
2010-06-05,1.49,0.0,21.59
2010-06-06,3.07,1.73,17.95
2010-06-07,3.73,0.0,16.09
2010-06-08,3.94,0.75,17.78
2010-06-09,2.11,0.18,16.94
2010-06-10,3.09,0.5,17.47
2010-06-11,4.04,0.02,17.46
2010-06-12,4.58,0.0,14.84
2010-06-13,1.33,0.03,13.35
2010-06-14,3.46,0.0,16.31
2010-06-15,7.45,0.03,14.66
2010-06-16,7.57,0.0,15.32
2010-06-17,5.97,0.0,17.54
2010-06-18,5.14,0.0,14.1
2010-06-19,5.85,0.05,12.24
2010-06-20,5.53,0.2,11.54
2010-06-21,3.35,0.0,13.34
2010-06-22,1.78,0.0,16.24
2010-06-23,1.09,0.0,19.59
2010-06-24,2.64,0.0,20.24
2010-06-25,1.97,0.0,20.44
2010-06-26,3.1,0.0,22.21
2010-06-27,2.13,0.0,23.69
2010-06-28,2.24,0.0,23.13
2010-06-29,3.79,0.0,21.58
2010-06-30,2.76,0.0,21.35
2010-07-01,1.99,0.0,23.61
2010-07-02,3.27,0.2,25.15
2010-07-03,2.76,0.3,20.31
2010-07-04,3.65,0.0,19.54
2010-07-05,3.69,0.07,18.65
2010-07-06,2.95,0.0,18.09
2010-07-07,2.7,0.0,20.68
2010-07-08,2.39,0.0,24.38
2010-07-09,2.96,0.0,25.93
2010-07-10,2.71,0.0,23.97
2010-07-11,3.57,0.0,24.6
2010-07-12,4.26,3.1,20.7
2010-07-13,3.4,0.0,21.73
2010-07-14,3.98,2.1,19.31
2010-07-15,6.36,0.25,18.99
2010-07-16,5.29,0.0,19.01
2010-07-17,4.78,0.0,17.25
2010-07-18,2.19,0.0,17.78
2010-07-19,1.43,0.0,21.82
2010-07-20,1.91,0.0,23.93
2010-07-21,3.48,0.51,20.11
2010-07-22,2.96,0.02,18.84
2010-07-23,4.17,0.58,17.24
2010-07-24,1.93,0.03,17.15
2010-07-25,3.01,0.0,17.44
2010-07-26,4.25,0.0,18.51
2010-07-27,2.19,1.2,17.98
2010-07-28,4.76,0.0,20.13
2010-07-29,3.92,0.07,17.12
2010-07-30,2.39,0.0,19.0
2010-07-31,4.44,0.0,20.24
2010-08-01,3.48,0.0,18.49
2010-08-02,2.14,1.86,17.57
2010-08-03,2.4,0.02,17.24
2010-08-04,4.56,2.43,17.04
2010-08-05,4.51,0.0,16.32
2010-08-06,2.64,0.0,17.75
2010-08-07,3.21,0.38,18.81
2010-08-08,3.4,0.0,17.71
2010-08-09,1.88,0.03,17.64
2010-08-10,3.35,0.75,17.14
2010-08-11,3.35,0.57,18.89
2010-08-12,3.4,0.0,16.61
2010-08-13,2.38,0.45,15.84
2010-08-14,1.6,0.28,15.61
2010-08-15,6.17,0.18,17.06
2010-08-16,7.38,6.9,15.11
2010-08-17,3.86,0.25,15.3
2010-08-18,4.04,0.07,17.15
2010-08-19,3.73,0.0,17.24
2010-08-20,4.33,0.0,21.1
2010-08-21,2.89,0.0,21.51
2010-08-22,1.66,0.0,20.84
2010-08-23,7.08,0.88,19.91
2010-08-24,7.09,0.0,16.5
2010-08-25,3.55,0.27,16.13
2010-08-26,5.6,0.33,20.48
2010-08-27,4.44,0.75,16.86
2010-08-28,4.17,0.05,14.56
2010-08-29,6.49,0.63,13.8
2010-08-30,7.44,0.08,14.57
2010-08-31,2.7,0.0,13.84
2010-09-01,3.27,0.03,14.48
2010-09-02,3.86,0.03,14.76
2010-09-03,2.79,0.02,15.34
2010-09-04,2.9,0.03,15.15
2010-09-05,3.79,0.0,15.66
2010-09-06,4.7,0.1,15.63
2010-09-07,2.14,0.18,16.81
2010-09-08,4.3,3.9,14.68
2010-09-09,3.8,0.1,16.21
2010-09-10,2.96,0.03,16.23
2010-09-11,3.46,0.03,17.86
2010-09-12,3.0,0.28,15.79
2010-09-13,4.0,0.03,14.66
2010-09-14,7.97,0.0,17.24
2010-09-15,6.82,0.61,14.64
2010-09-16,4.63,0.13,13.89
2010-09-17,3.8,0.02,11.2
2010-09-18,1.93,0.03,11.28
2010-09-19,2.7,0.03,12.38
2010-09-20,3.73,0.0,15.03
2010-09-21,1.0,0.02,15.1
2010-09-22,1.85,0.02,16.26
2010-09-23,1.94,0.33,16.16
2010-09-24,3.91,0.53,14.76
2010-09-25,6.88,0.35,11.21
2010-09-26,4.89,2.0,10.91
2010-09-27,1.32,0.0,10.71
2010-09-28,1.4,0.15,13.26
2010-09-29,1.14,0.05,14.68
2010-09-30,3.27,0.32,13.88
2010-10-01,5.47,1.28,12.38
2010-10-02,4.75,0.97,15.97
2010-10-03,4.74,0.25,18.37
2010-10-04,2.89,0.5,17.74
2010-10-05,4.33,0.15,15.83
2010-10-06,3.8,0.18,15.51
2010-10-07,2.7,0.03,14.46
2010-10-08,3.04,0.05,15.68
2010-10-09,2.9,0.02,15.94
2010-10-10,5.01,0.02,14.53
2010-10-11,5.86,0.0,11.49
2010-10-12,4.76,0.0,9.69
2010-10-13,3.21,0.03,9.64
2010-10-14,1.99,0.0,10.16
2010-10-15,1.86,0.3,10.86
2010-10-16,5.15,0.55,9.11
2010-10-17,4.17,0.0,6.0
2010-10-18,2.67,0.13,6.76
2010-10-19,5.0,0.42,10.16
2010-10-20,5.79,0.83,6.74
2010-10-21,3.8,0.0,5.04
2010-10-22,3.52,0.03,7.49
2010-10-23,5.6,1.78,6.14
2010-10-24,3.32,0.8,6.4
2010-10-25,3.16,0.03,6.24
2010-10-26,3.49,0.13,5.0
2010-10-27,5.66,0.9,8.93
2010-10-28,4.58,0.02,10.54
2010-10-29,6.36,0.0,11.65
2010-10-30,4.05,0.22,11.65
2010-10-31,2.59,0.18,10.51
2010-11-01,3.14,0.07,9.51
2010-11-02,4.31,0.03,9.66
2010-11-03,6.64,0.05,13.35
2010-11-04,9.28,0.02,15.23
2010-11-05,6.75,0.15,14.16
2010-11-06,3.99,0.88,10.74
2010-11-07,1.46,0.02,5.92
2010-11-08,5.98,1.05,4.6
2010-11-09,4.5,0.6,7.25
2010-11-10,4.75,1.68,6.21
2010-11-11,8.41,0.52,6.49
2010-11-12,9.59,0.72,12.01
2010-11-13,5.15,4.65,12.14
2010-11-14,6.76,0.6,11.61
2010-11-15,1.09,0.02,6.93
2010-11-16,1.34,0.02,3.04
2010-11-17,3.98,0.0,4.23
2010-11-18,2.77,0.0,5.45
2010-11-19,3.35,0.05,7.13
2010-11-20,3.77,0.0,6.76
2010-11-21,4.29,0.0,3.94
2010-11-22,4.04,0.0,4.04
2010-11-23,3.47,0.88,3.73
2010-11-24,4.63,0.53,3.61
2010-11-25,3.01,0.68,1.3
2010-11-26,2.45,0.03,0.91
2010-11-27,2.06,0.0,-0.64
2010-11-28,2.25,0.0,-1.91
2010-11-29,2.96,0.0,-2.15
2010-11-30,4.11,0.02,-1.6
2010-12-01,6.51,0.0,-4.24
2010-12-02,4.67,0.0,-4.95
2010-12-03,2.39,0.05,-6.16
2010-12-04,7.37,0.38,-1.8
2010-12-05,3.85,0.47,2.21
2010-12-06,2.19,0.0,-1.54
2010-12-07,3.91,0.0,-1.76
2010-12-08,4.16,0.0,-0.34
2010-12-09,4.8,0.1,1.47
2010-12-10,3.85,0.0,3.88
2010-12-11,4.7,0.0,5.63
2010-12-12,4.13,0.05,4.29
2010-12-13,2.39,0.02,-0.85
2010-12-14,4.11,0.02,-0.88
2010-12-15,3.41,0.13,-0.1
2010-12-16,5.15,1.03,2.19
2010-12-17,2.89,0.33,-2.5
2010-12-18,3.16,0.02,-4.74
2010-12-19,4.06,0.47,-1.27
2010-12-20,1.68,0.0,-2.74
2010-12-21,2.45,0.18,0.76
2010-12-22,2.75,0.0,0.56
2010-12-23,8.09,0.1,-0.16
2010-12-24,8.43,0.02,-0.28
2010-12-25,3.35,0.0,-1.5
2010-12-26,3.22,0.0,-0.66
2010-12-27,4.75,0.0,-1.25
2010-12-28,3.54,0.13,-0.19
2010-12-29,1.79,0.15,1.7
2010-12-30,2.9,0.03,1.43
2010-12-31,1.59,0.0,1.34
2011-01-01,2.31,0.15,3.42
